Title,Genre,Actors,Recom
Loki,"Action, Adventure, Fantasy","Tom Hiddleston, Owen Wilson, Eugene Cordero, Gugu Mbatha-Raw, Ke Huy Quan, Sophia Di Martino, Wunmi Mosaku, Lauren Revard, Tara Strong, Neil Ellice, Sarafina King, Ilan Muallem, Sasha Lane, Philip Fornah, David A MacDonald, Michelle Rose, Alvin Chon, Richard E. Grant","WandaVision, The Falcon and the Winter Soldier, Hawkeye, Moon Knight, What If...?, Shang-Chi and the Legend of the Ten Rings, Thor: Ragnarok, Captain America: Civil War, Black Widow, Avengers: Infinity War, Avengers: Endgame, Avengers: Age of Ultron"
WandaVision,"Action, Comedy, Drama","Elizabeth Olsen, Paul Bettany, Kathryn Hahn, Teyonah Parris, Josh Stamberg, David A Payton, David Lengel, Amos Glick, Selena Anduze, Randall Park, Kat Dennings, Debra Jo Rupp, Julian Hilliard, Jett Klyne, Asif Ali, Ithamar Enriquez, Victoria Blade, Evan Peters","Loki, The Falcon and the Winter Soldier, Hawkeye, Moon Knight, What If...?, Doctor Strange, Captain America: Civil War, Avengers: Age of Ultron, Captain America: The Winter Soldier, Captain Marvel, Black Widow, Thor: Ragnarok"
Top Gun: Maverick,"Action, Drama","Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer, Bashir Salahuddin, Jon Hamm, Charles Parnell, Monica Barbaro, Lewis Pullman, Jay Ellis, Danny Ramirez, Glen Powell, Jack Schumacher, Manny Jacinto, Kara Wang, Greg Tarzan Davis, Jake Picking, Raymond Lee","Top Gun, Avatar, Thor: Love and Thunder, Elvis, The Batman, The Lord of the Rings: The Fellowship of the Ring, Bullet Train, Interstellar, Doctor Strange in the Multiverse of Madness, Spider-Man: No Way Home, Joker, The Dark Knight"
Thor: Love and Thunder,"Action, Adventure, Comedy","Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Taika Waititi, Russell Crowe, Jaimie Alexander, Idris Elba, Chris Pratt, Dave Bautista, Karen Gillan, Pom Klementieff, Sean Gunn, Vin Diesel, Bradley Cooper, Carly Rees, Kat Dennings, Suren Jayemanne","Doctor Strange in the Multiverse of Madness, Thor: Ragnarok, Thor, Thor: The Dark World, Top Gun: Maverick, Spider-Man: No Way Home, Avengers: Endgame, The Whale, Avatar, Avengers: Infinity War, Black Panther, Moon Knight"
Thor: Ragnarok,"Action, Adventure, Comedy","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Anthony Hopkins, Benedict Cumberbatch, Taika Waititi, Rachel House, Clancy Brown, Tadanobu Asano, Ray Stevenson, Zachary Levi, Georgia Blizzard, Amali Golden","Thor, Captain America: Civil War, Avengers: Infinity War, Thor: The Dark World, The Avengers, Black Panther, Doctor Strange, Captain America: The Winter Soldier, Avengers: Age of Ultron, Avengers: Endgame, Guardians of the Galaxy Vol. 2, Guardians of the Galaxy"
Thor,"Action, Adventure, Fantasy","Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston, Stellan Skarsgård, Kat Dennings, Clark Gregg, Colm Feore, Idris Elba, Ray Stevenson, Tadanobu Asano, Josh Dallas, Jaimie Alexander, Rene Russo, Adriana Barraza, Maximiliano Hernández, Richard Cetrone, Darren Kendrick","Thor: The Dark World, Iron Man 2, Captain America: The First Avenger, Iron Man, Thor: Ragnarok, Iron Man Three, The Avengers, Captain America: The Winter Soldier, Avengers: Age of Ultron, Captain America: Civil War, Ant-Man, Doctor Strange"
Thor: The Dark World,"Action, Adventure, Fantasy","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård, Anthony Hopkins, Christopher Eccleston, Jaimie Alexander, Zachary Levi, Ray Stevenson, Tadanobu Asano, Idris Elba, Rene Russo, Adewale Akinnuoye-Agbaje, Kat Dennings, Alice Krige, Clive Russell, Jonathan Howard, Ramone Morgan","Thor, Iron Man Three, Thor: Ragnarok, Iron Man 2, Captain America: The Winter Soldier, Captain America: The First Avenger, Avengers: Age of Ultron, The Avengers, Ant-Man, Iron Man, Captain America: Civil War, Guardians of the Galaxy Vol. 2"
Iron Man Three,"Action, Adventure, Sci-Fi","Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle, Rebecca Hall, Jon Favreau, Ben Kingsley, James Badge Dale, Stephanie Szostak, Paul Bettany, William Sadler, Dale Dickey, Ty Simpkins, Miguel Ferrer, Xueqi Wang, Shaun Toub, Matthew Sterling Nye, Pat Kiernan","Iron Man 2, Iron Man, Captain America: The Winter Soldier, Captain America: The First Avenger, The Avengers, Avengers: Age of Ultron, Captain America: Civil War, Thor, Ant-Man, Thor: The Dark World, Guardians of the Galaxy Vol. 2, Guardians of the Galaxy"
Iron Man 2,"Action, Adventure, Sci-Fi","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell, Samuel L. Jackson, Clark Gregg, John Slattery, Garry Shandling, Paul Bettany, Kate Mara, Leslie Bibb, Jon Favreau, Christiane Amanpour, Philippe Bergeron, James Bethea, Michael Bruno","Iron Man Three, Iron Man, Captain America: The First Avenger, Thor, The Avengers, Captain America: The Winter Soldier, Avengers: Age of Ultron, Ant-Man, Captain America: Civil War, Thor: The Dark World, Guardians of the Galaxy Vol. 2, Ant-Man and the Wasp"
Iron Man,"Action, Adventure, Sci-Fi","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges, Leslie Bibb, Shaun Toub, Faran Tahir, Clark Gregg, Bill Smitrovich, Sayed Badreya, Paul Bettany, Jon Favreau, Peter Billingsley, Tim Guinee, Will Lyman, Tom Morello, Marco Khan, Dastan Khalili","Iron Man 2, Iron Man Three, Captain America: The First Avenger, The Avengers, Captain America: The Winter Soldier, Avengers: Age of Ultron, Captain America: Civil War, Thor, Ant-Man, Guardians of the Galaxy Vol. 2, Guardians of the Galaxy, Doctor Strange"
